StudentID,Age,Gender,County,Program,ProgramType,LearningMode,EducationLevel,EmploymentStatus,PaymentPlan,DeviceType,InternetQuality,PreviousCodingExperienceYears,WeeklyStudyHours,AttendanceRatePercent,AssignmentsSubmitted,AssignmentsLate,AverageQuizScore,AverageProjectScore,ForumPosts,MentorSessionsAttended,GitHubCommits,ProjectsCompleted,PreferredProgrammingLanguage,CareerGoal,AdmissionSource,ProjectCategory,MonthlyFeePaidKES,OutstandingBalanceKES,ScholarshipPercent,DaysSinceLastLogin,LoginFrequencyPerWeek,VideoLessonsWatched,LabCompletionRatePercent,PeerCollaborationScore,CommunicationScore,ProblemSolvingScore,ConfidenceLevel1To10,EngagementLevel,AttendanceStatus,DropoutRiskLevel,FinalClusterHint
STU-0011,24,Male,Mombasa,AI & Machine Learning,Diploma,Hybrid,High School,Employed,Sponsored,Laptop,Excellent,2.4,12,70,11,3,56,74,14,0,19,4,Kotlin,Academic research,Instagram,Web App,41715,18285,0,4,3,89,68,7,6,7,2,High,Moderate,Medium,Career Switcher
STU-0012,25,Male,Nyeri,Data Science,Certificate,Hybrid,Degree,Student,Full Payment,Laptop,Good,0,13,77,16,3,73,76,4,10,62,2,Kotlin,Freelance,School Visit,Mobile App,20879,21121,30,6,3,47,86,6,2,8,9,Very High,Moderate,Low,Practical Builder
STU-0013,30,Female,Kakamega,Cybersecurity,Certificate,Hybrid,Diploma,Self-employed,Installments,Tablet,Average,2.1,9,74,14,4,68,59,42,10,48,2,JavaScript,Upskill current job,School Visit,Design Prototype,7684,37316,0,18,6,84,67,2,4,7,4,Low,Moderate,Low,Casual Learner
STU-0014,31,Female,Kakamega,Data Science,Certificate,Physical,Postgraduate,Unemployed,Installments,Laptop,Good,3.9,21,66,15,1,77,64,29,10,37,5,Dart,Upskill current job,TikTok,Blockchain App,49222,46778,20,8,2,72,72,10,6,9,10,Medium,Moderate,Low,Career Switcher
STU-0015,31,Female,Kisumu,Robotics,Diploma,Hybrid,Degree,Unemployed,Installments,Laptop,Poor,1.3,12,69,16,2,59,77,34,7,79,7,Dart,Upskill current job,Google Search,Web App,105386,14614,0,2,6,58,64,4,7,8,10,Medium,Moderate,Medium,Practical Builder
STU-0016,26,Female,Kajiado,Full Stack JavaScript,Bootcamp,Physical,Diploma,Unemployed,Full Payment,Laptop,Poor,2.6,22,88,7,10,60,84,27,2,147,3,Java,Upskill current job,Instagram,Design Prototype,32189,27811,0,0,9,115,90,3,1,8,7,Very High,Consistent,Low,Practical Builder
STU-0017,25,Male,Eldoret,Cloud Computing,Certificate,Online,High School,Self-employed,Full Payment,Laptop,Excellent,1.8,10,84,20,1,59,77,10,9,46,5,Kotlin,Upskill current job,WhatsApp,Mobile App,19182,10818,0,1,6,82,74,3,5,5,10,High,Consistent,Medium,Practical Builder
STU-0018,35,Male,Kiambu,Data Science,Certificate,Hybrid,Degree,Student,Sponsored,Laptop,Poor,1.6,6,29,18,2,52,41,9,6,0,1,Java,Freelance,Event,Mobile App,28926,8574,50,22,0,27,41,5,10,6,8,Medium,Irregular,High,Struggling Learner
STU-0019,25,Female,Kisumu,Data Science,Certificate,Hybrid,Postgraduate,Self-employed,Full Payment,Smartphone,Average,2.1,18,82,20,1,55,86,28,12,54,2,Kotlin,Academic research,School Visit,AI Model,27061,14939,30,3,9,7,76,5,4,9,4,High,Consistent,Low,Practical Builder
STU-0020,40,Female,Machakos,Cloud Computing,Certificate,Hybrid,Degree,Self-employed,Installments,Laptop,Average,3.9,33,87,12,3,81,84,23,2,168,5,JavaScript,Upskill current job,Referral,Design Prototype,9559,14441,20,2,6,43,75,9,3,9,1,High,Consistent,Low,High Performer
STU-0021,35,Female,Eldoret,Software Engineering,Diploma,Physical,Degree,Employed,Partial Scholarship,Laptop,Excellent,1.9,10,65,18,2,23,29,38,12,9,2,Kotlin,Freelance,School Visit,IoT Project,19507,10493,50,16,0,84,44,9,7,4,8,Low,Moderate,Medium,Struggling Learner
STU-0022,36,Male,Kisumu,Software Engineering,Diploma,Physical,Degree,Student,Full Payment,Laptop,Poor,1.8,30,97,18,0,84,79,16,12,104,5,Java,Build startup,Referral,Web App,63044,26956,0,2,12,106,98,10,4,10,2,High,Consistent,Low,High Performer
STU-0023,42,Female,Nyeri,AI & Machine Learning,Diploma,Hybrid,Degree,Unemployed,Full Payment,Desktop,Good,3.0,2,63,5,8,22,47,36,0,20,2,Kotlin,Get a tech job,Google Search,AI Model,18738,17262,20,15,0,102,50,8,9,5,5,Low,Moderate,Medium,Struggling Learner
STU-0024,27,Female,Kakamega,Cloud Computing,Certificate,Online,Diploma,Self-employed,Installments,Laptop,Good,0.9,9,27,18,1,49,25,3,3,20,1,Java,Upskill current job,WhatsApp,Data Dashboard,27757,17243,0,17,0,71,27,10,8,5,1,Medium,Irregular,Medium,Struggling Learner
STU-0025,17,Male,Kisii,Data Science,Certificate,Online,High School,Unemployed,Full Payment,Smartphone,Excellent,0.8,15,78,13,3,82,67,38,8,68,4,Java,Freelance,Event,IoT Project,76272,13728,0,8,3,100,66,2,5,9,6,High,Moderate,Low,Career Switcher
STU-0026,38,Female,Mombasa,Blockchain Development,Bootcamp,Physical,Postgraduate,Self-employed,Installments,Desktop,Average,1.7,21,72,17,3,65,86,42,12,64,2,Kotlin,Get a tech job,School Visit,Data Dashboard,80032,9968,0,7,2,110,73,8,1,7,9,High,Moderate,Medium,Career Switcher
STU-0027,40,Male,Kajiado,Software Engineering,Diploma,Hybrid,Diploma,Student,Installments,Smartphone,Average,0.8,21,84,11,1,70,81,27,1,84,1,Python,Freelance,Instagram,AI Model,12771,17229,0,10,2,102,92,2,8,7,5,Medium,Consistent,Medium,Career Switcher
STU-0028,21,Male,Meru,Cloud Computing,Certificate,Physical,Diploma,Employed,Full Payment,Laptop,Average,0,11,54,20,1,54,59,43,8,45,3,Java,Build startup,Google Search,Design Prototype,64597,55403,0,17,3,25,48,8,6,6,7,Low,Irregular,Medium,Casual Learner
STU-0029,20,Male,Kajiado,Robotics,Diploma,Physical,Degree,Self-employed,Full Payment,Tablet,Average,4.3,4,76,9,10,58,69,6,14,56,2,Java,Freelance,WhatsApp,Data Dashboard,10991,31009,30,14,2,85,63,5,8,5,10,Low,Moderate,Medium,Casual Learner
STU-0030,23,Male,Meru,AI & Machine Learning,Diploma,Hybrid,Degree,Self-employed,Partial Scholarship,Laptop,Good,1.6,5,46,15,0,27,49,16,8,4,0,Python,Academic research,School Visit,AI Model,7323,13677,30,14,3,20,52,6,5,5,6,Medium,Irregular,Medium,Struggling Learner
STU-0031,24,Male,Kakamega,Blockchain Development,Bootcamp,Hybrid,Degree,Unemployed,Full Payment,Laptop,Poor,2.2,14,77,17,3,69,81,17,0,115,7,Java,Academic research,WhatsApp,AI Model,59027,973,0,6,5,93,80,4,8,9,4,High,Moderate,Low,Practical Builder
STU-0032,29,Female,Kisumu,Software Engineering,Diploma,Hybrid,Postgraduate,Student,Installments,Laptop,Good,1.5,26,89,19,0,79,96,21,12,97,3,Python,Get a tech job,TikTok,Web App,74586,15414,0,1,14,23,100,1,5,8,3,High,Consistent,Low,High Performer
STU-0033,42,Male,Nyeri,Full Stack JavaScript,Bootcamp,Online,Diploma,Self-employed,Full Payment,Desktop,Good,1.5,12,51,19,1,68,61,27,10,19,1,Java,Academic research,WhatsApp,IoT Project,18524,71476,0,12,4,18,61,8,2,5,6,Low,Irregular,Low,Casual Learner
STU-0034,39,Female,Kajiado,UI/UX Design,Certificate,Hybrid,Degree,Unemployed,Installments,Laptop,Good,0,33,88,15,5,88,92,6,5,103,6,Python,Upskill current job,Referral,Blockchain App,25710,4290,0,2,12,59,90,5,6,9,8,Very High,Consistent,Low,High Performer
STU-0035,42,Male,Meru,Full Stack JavaScript,Bootcamp,Online,Degree,Student,Installments,Smartphone,Excellent,0,25,91,20,0,86,81,22,13,174,4,Dart,Academic research,Referral,IoT Project,38054,6946,50,1,12,76,87,2,5,8,7,High,Consistent,Low,High Performer
STU-0036,17,Male,Nakuru,Mobile App Development,Certificate,Hybrid,Degree,Self-employed,Installments,Laptop,Poor,2.9,5,54,10,5,41,47,19,11,52,2,C++,Get a tech job,Instagram,Data Dashboard,15191,7309,50,15,4,46,58,10,2,3,3,Medium,Irregular,Medium,Casual Learner
STU-0037,32,Female,Kajiado,Cloud Computing,Certificate,Online,High School,Self-employed,Installments,Laptop,Good,0,28,83,12,1,75,84,0,7,122,4,C++,Freelance,Referral,Data Dashboard,69026,50974,0,1,9,100,87,3,3,9,9,Very High,Consistent,Low,High Performer
STU-0038,30,Male,Eldoret,Software Engineering,Diploma,Hybrid,Degree,Unemployed,Installments,Desktop,Average,1.7,16,92,12,3,80,97,27,9,162,8,Python,Academic research,WhatsApp,Web App,36551,8449,0,2,6,56,100,2,7,9,6,Very High,Consistent,Low,High Performer
STU-0039,33,Male,Machakos,UI/UX Design,Certificate,Physical,Diploma,Employed,Full Payment,Laptop,Average,2.9,31,96,18,0,93,96,30,7,159,8,Kotlin,Get a tech job,Referral,AI Model,37246,52754,0,2,10,85,95,5,10,8,6,High,Consistent,Low,High Performer
STU-0040,19,Male,Nyeri,Mobile App Development,Certificate,Physical,Postgraduate,Unemployed,Installments,Smartphone,Good,3.4,34,88,11,5,85,97,45,1,166,7,Java,Freelance,Instagram,Data Dashboard,48120,23880,20,1,5,69,88,1,4,10,8,Very High,Consistent,Low,High Performer
STU-0041,41,Female,Kakamega,Cloud Computing,Certificate,Physical,Degree,Student,Installments,Laptop,Average,1.5,17,69,7,4,71,55,35,6,89,2,Java,Build startup,TikTok,AI Model,14894,75106,0,6,4,87,62,3,9,5,7,High,Moderate,Low,Career Switcher
STU-0042,23,Male,Mombasa,Robotics,Diploma,Online,Degree,Student,Installments,Laptop,Good,4.2,6,64,4,13,28,58,23,10,24,0,Kotlin,Build startup,Instagram,Blockchain App,12718,23282,20,12,1,97,58,8,10,5,8,Low,Moderate,High,Struggling Learner
STU-0043,31,Female,Nakuru,Blockchain Development,Bootcamp,Hybrid,Postgraduate,Employed,Partial Scholarship,Tablet,Poor,1.5,16,66,17,0,83,57,14,13,51,1,Python,Freelance,TikTok,Web App,31537,58463,0,3,4,62,62,1,7,6,7,High,Moderate,Low,Career Switcher
STU-0044,20,Female,Mombasa,Full Stack JavaScript,Bootcamp,Online,Degree,Unemployed,Installments,Laptop,Good,3.5,1,30,12,3,21,36,19,1,13,0,Dart,Academic research,Referral,Blockchain App,13790,1210,50,24,4,11,30,7,10,4,2,Medium,Irregular,Medium,Struggling Learner
STU-0045,35,Male,Kisii,UI/UX Design,Certificate,Online,Postgraduate,Student,Installments,Laptop,Average,1.2,9,92,11,0,82,85,22,12,17,4,C++,Build startup,Event,Design Prototype,18423,11577,0,8,2,13,89,4,2,9,3,High,Consistent,Medium,Career Switcher
STU-0046,39,Female,Kakamega,Robotics,Diploma,Online,Diploma,Student,Sponsored,Smartphone,Poor,1.0,16,66,12,5,65,79,3,13,95,5,Kotlin,Freelance,TikTok,Data Dashboard,27498,25002,30,7,7,88,73,5,2,8,7,Medium,Moderate,Low,Practical Builder
STU-0047,28,Female,Kiambu,Robotics,Diploma,Hybrid,High School,Unemployed,Installments,Tablet,Good,1.3,8,73,16,3,67,50,17,10,49,4,Python,Build startup,Event,IoT Project,24023,59977,30,14,4,106,53,2,7,6,9,Low,Moderate,Medium,Casual Learner
STU-0048,18,Male,Kiambu,Robotics,Diploma,Online,Degree,Self-employed,Installments,Laptop,Good,2.0,9,68,12,1,68,69,1,11,9,2,Dart,Freelance,WhatsApp,Data Dashboard,22231,19769,30,14,4,28,74,9,7,5,5,Medium,Moderate,Medium,Casual Learner
STU-0049,20,Male,Kiambu,Cybersecurity,Certificate,Physical,Postgraduate,Student,Partial Scholarship,Smartphone,Excellent,0.4,5,44,8,3,30,60,31,0,11,1,Python,Freelance,Google Search,Blockchain App,32457,3543,20,23,1,51,59,10,6,6,9,Low,Irregular,Medium,Struggling Learner
STU-0050,33,Female,Kajiado,Robotics,Diploma,Hybrid,High School,Employed,Partial Scholarship,Laptop,Average,0,9,53,9,2,51,69,20,14,13,4,Dart,Freelance,TikTok,Blockchain App,41387,18613,0,4,1,95,58,6,9,7,2,Low,Irregular,Medium,Casual Learner
STU-0051,36,Male,Meru,Mobile App Development,Certificate,Physical,Diploma,Employed,Installments,Desktop,Good,2.5,8,65,14,5,52,86,19,7,48,2,Kotlin,Build startup,Instagram,IoT Project,20382,20118,10,10,5,36,78,5,8,5,1,Medium,Moderate,Medium,Career Switcher
STU-0052,27,Female,Kisii,AI & Machine Learning,Diploma,Hybrid,Degree,Unemployed,Full Payment,Laptop,Good,0,24,68,19,1,63,84,15,13,61,3,Kotlin,Upskill current job,Instagram,Data Dashboard,40361,139,10,1,3,120,71,6,10,8,4,High,Moderate,Medium,Practical Builder
STU-0053,19,Female,Meru,Software Engineering,Diploma,Physical,Diploma,Employed,Installments,Laptop,Average,0,8,45,12,0,46,58,36,8,13,3,Java,Academic research,WhatsApp,IoT Project,64779,16221,10,14,4,29,53,9,5,4,7,Medium,Irregular,Low,Casual Learner
STU-0054,21,Male,Kajiado,Data Science,Certificate,Physical,Degree,Self-employed,Sponsored,Laptop,Good,0,1,27,15,1,28,41,25,9,30,2,Java,Freelance,WhatsApp,Web App,45542,8458,10,21,1,99,33,10,6,5,10,Low,Irregular,High,Struggling Learner
STU-0055,35,Female,Kisii,Cloud Computing,Certificate,Hybrid,High School,Unemployed,Installments,Desktop,Excellent,0.6,31,87,10,0,91,98,28,5,142,4,C++,Get a tech job,WhatsApp,Mobile App,72243,8757,10,1,5,58,87,7,4,10,9,High,Consistent,Low,High Performer
STU-0056,23,Female,Kakamega,UI/UX Design,Certificate,Physical,Postgraduate,Self-employed,Partial Scholarship,Laptop,Good,1.0,5,64,13,3,50,32,44,11,15,1,Kotlin,Upskill current job,Event,AI Model,17403,6597,20,24,2,67,48,8,6,5,5,Low,Moderate,High,Struggling Learner
STU-0057,26,Male,Nakuru,AI & Machine Learning,Diploma,Hybrid,High School,Self-employed,Partial Scholarship,Desktop,Good,2.1,18,69,19,0,58,89,3,1,124,6,Kotlin,Upskill current job,WhatsApp,Mobile App,44628,45372,0,3,6,57,79,8,2,7,1,Medium,Moderate,Low,Practical Builder
STU-0058,27,Female,Kakamega,Mobile App Development,Certificate,Online,High School,Employed,Installments,Desktop,Excellent,4.1,10,86,7,4,61,52,36,9,65,4,Python,Freelance,TikTok,Blockchain App,30934,50066,10,3,7,18,69,5,8,7,3,High,Consistent,Low,Career Switcher
STU-0059,37,Female,Kisii,Robotics,Diploma,Online,Degree,Self-employed,Installments,Desktop,Average,3.3,16,80,5,8,55,75,24,3,27,2,Python,Get a tech job,Google Search,AI Model,88662,31338,0,3,5,62,76,6,5,5,5,High,Consistent,Low,Career Switcher
STU-0060,29,Female,Kisii,AI & Machine Learning,Diploma,Online,Degree,Self-employed,Installments,Laptop,Poor,0,35,93,18,1,88,95,33,11,165,7,JavaScript,Build startup,Instagram,Design Prototype,57311,32689,0,1,8,51,86,10,2,8,9,High,Consistent,Low,High Performer
STU-0061,31,Male,Kakamega,UI/UX Design,Certificate,Online,Postgraduate,Student,Partial Scholarship,Laptop,Poor,2.5,9,54,17,2,39,21,44,1,25,1,C++,Upskill current job,Instagram,Data Dashboard,60271,14729,0,7,1,74,29,2,8,2,5,Low,Irregular,Medium,Struggling Learner
STU-0062,29,Female,Kiambu,Robotics,Diploma,Hybrid,Diploma,Self-employed,Full Payment,Smartphone,Average,2.6,23,82,14,1,75,87,29,5,163,8,Python,Build startup,TikTok,Web App,42561,2439,50,3,13,24,83,4,2,7,7,Very High,Consistent,Low,High Performer
STU-0063,36,Male,Eldoret,Data Science,Certificate,Physical,High School,Employed,Sponsored,Laptop,Average,2.1,32,91,12,8,82,96,14,6,126,7,Java,Upskill current job,Event,IoT Project,15377,65623,10,2,8,43,92,1,9,8,7,Very High,Consistent,Low,High Performer
STU-0064,39,Female,Kajiado,Full Stack JavaScript,Bootcamp,Online,Postgraduate,Employed,Sponsored,Laptop,Good,4.2,14,90,12,3,69,71,21,10,101,5,Dart,Get a tech job,Event,Web App,39021,14979,10,6,5,15,84,6,2,7,1,High,Consistent,Low,Practical Builder
STU-0065,42,Male,Eldoret,Cybersecurity,Certificate,Online,Degree,Self-employed,Partial Scholarship,Laptop,Excellent,2.2,15,75,15,4,63,75,41,5,45,5,Kotlin,Freelance,TikTok,AI Model,14761,239,50,6,8,44,73,6,9,8,8,High,Moderate,Medium,Career Switcher
STU-0066,30,Male,Nyeri,Full Stack JavaScript,Bootcamp,Hybrid,Diploma,Student,Installments,Smartphone,Good,1.3,3,37,20,1,41,34,29,2,24,2,Dart,Get a tech job,Event,Design Prototype,60710,2289,30,14,3,98,36,3,3,5,3,Medium,Irregular,High,Struggling Learner
STU-0067,38,Male,Nairobi,Data Science,Certificate,Physical,Diploma,Student,Sponsored,Laptop,Good,0.1,13,75,7,8,71,45,44,10,5,4,Java,Freelance,Event,Data Dashboard,21509,14491,20,3,1,60,55,2,2,5,4,Medium,Moderate,Medium,Casual Learner
STU-0068,28,Female,Eldoret,Data Science,Certificate,Physical,Diploma,Self-employed,Installments,Tablet,Good,2.9,20,62,18,0,55,75,5,7,63,4,C++,Academic research,Google Search,AI Model,9891,20109,0,9,5,113,72,6,10,5,9,Medium,Moderate,Low,Career Switcher
STU-0069,19,Female,Meru,Software Engineering,Diploma,Physical,High School,Employed,Partial Scholarship,Laptop,Excellent,0,10,49,9,11,59,50,5,8,41,2,Dart,Academic research,Google Search,Design Prototype,19931,10069,0,15,6,100,50,1,2,7,4,Medium,Irregular,Medium,Casual Learner
STU-0070,17,Female,Eldoret,Full Stack JavaScript,Bootcamp,Physical,Degree,Unemployed,Installments,Desktop,Good,0.3,35,91,19,1,82,80,20,5,66,5,JavaScript,Upskill current job,Google Search,IoT Project,15757,44243,0,1,11,18,78,1,5,10,6,High,Consistent,Low,High Performer
STU-0071,33,Female,Kiambu,UI/UX Design,Certificate,Online,Degree,Student,Installments,Desktop,Excellent,2.9,12,60,20,0,50,66,4,2,29,2,C++,Upskill current job,School Visit,IoT Project,57155,2845,0,7,3,60,61,7,5,7,2,Medium,Moderate,Medium,Casual Learner
STU-0072,31,Male,Mombasa,Cybersecurity,Certificate,Online,Postgraduate,Self-employed,Partial Scholarship,Laptop,Excellent,1.6,7,63,10,6,28,39,20,4,20,2,Kotlin,Freelance,Referral,IoT Project,63301,11699,0,29,1,99,61,8,10,3,6,Medium,Moderate,High,Struggling Learner
STU-0073,35,Male,Kakamega,Cybersecurity,Certificate,Hybrid,High School,Unemployed,Partial Scholarship,Laptop,Good,1.8,20,86,17,0,81,58,28,9,53,2,C++,Academic research,School Visit,Blockchain App,14597,403,50,5,7,66,80,7,9,8,9,Medium,Consistent,Medium,Career Switcher
STU-0074,20,Male,Kakamega,Data Science,Certificate,Hybrid,Diploma,Student,Installments,Laptop,Good,1.0,13,87,11,6,56,50,29,12,27,3,Python,Get a tech job,Event,Blockchain App,30083,44917,0,4,6,91,77,9,3,6,1,Medium,Consistent,Medium,Career Switcher
STU-0075,28,Female,Machakos,AI & Machine Learning,Diploma,Physical,Diploma,Unemployed,Installments,Laptop,Good,1.0,19,82,19,0,85,98,21,8,72,8,Python,Academic research,TikTok,Data Dashboard,43454,40546,30,1,8,59,94,4,7,9,3,High,Consistent,Low,High Performer
STU-0076,30,Female,Nairobi,Blockchain Development,Bootcamp,Hybrid,Diploma,Self-employed,Sponsored,Tablet,Poor,1.7,33,87,17,2,86,88,38,6,95,6,C++,Freelance,School Visit,IoT Project,17798,42202,20,0,9,83,90,10,2,9,6,Very High,Consistent,Low,High Performer
STU-0077,38,Male,Machakos,Data Science,Certificate,Online,Degree,Student,Full Payment,Desktop,Good,0.8,15,80,12,2,75,87,20,13,118,7,Dart,Academic research,WhatsApp,Data Dashboard,37932,7068,0,2,5,62,93,1,6,7,8,High,Consistent,Medium,Practical Builder
STU-0078,38,Female,Kajiado,Cloud Computing,Certificate,Hybrid,Postgraduate,Unemployed,Full Payment,Laptop,Good,1.9,11,73,15,0,62,87,17,12,66,3,C++,Build startup,Instagram,Design Prototype,9600,30900,10,7,10,74,81,9,1,9,9,Very High,Moderate,Low,Practical Builder
STU-0079,31,Female,Machakos,Software Engineering,Diploma,Hybrid,High School,Unemployed,Partial Scholarship,Laptop,Good,2.1,13,72,10,5,50,64,45,4,13,2,C++,Build startup,WhatsApp,Design Prototype,74520,480,0,9,1,42,76,5,9,4,3,Medium,Moderate,Medium,Casual Learner
STU-0080,24,Male,Kisii,AI & Machine Learning,Diploma,Online,Diploma,Unemployed,Installments,Laptop,Average,3.7,8,29,15,4,25,45,0,13,32,2,JavaScript,Upskill current job,Instagram,AI Model,72968,2032,0,15,2,104,29,8,6,2,9,Medium,Irregular,High,Struggling Learner
STU-0081,27,Male,Nyeri,Mobile App Development,Certificate,Hybrid,Degree,Student,Full Payment,Laptop,Good,4.7,30,82,12,5,88,84,16,1,78,8,Python,Get a tech job,TikTok,Data Dashboard,11944,40556,30,2,7,52,78,1,7,9,4,Very High,Consistent,Low,High Performer
STU-0082,21,Male,Meru,Data Science,Certificate,Hybrid,High School,Student,Installments,Tablet,Excellent,1.8,3,55,14,2,24,34,8,6,24,0,C++,Build startup,WhatsApp,Blockchain App,62890,57110,0,30,0,104,38,3,2,1,10,Low,Moderate,High,Struggling Learner
STU-0083,30,Female,Kisumu,AI & Machine Learning,Diploma,Online,High School,Employed,Sponsored,Laptop,Average,2.7,24,84,19,0,82,95,25,4,117,8,Python,Academic research,Referral,AI Model,28040,12460,10,0,9,87,81,4,8,10,2,High,Consistent,Low,High Performer
STU-0084,21,Female,Nyeri,Full Stack JavaScript,Bootcamp,Physical,Diploma,Unemployed,Partial Scholarship,Desktop,Poor,1.2,24,88,16,3,76,79,5,10,146,7,JavaScript,Build startup,School Visit,AI Model,35076,24924,0,2,13,73,90,10,3,8,2,Very High,Consistent,Low,High Performer
STU-0085,35,Male,Nakuru,Cloud Computing,Certificate,Hybrid,Diploma,Student,Full Payment,Smartphone,Poor,1.1,14,56,13,2,47,45,23,2,50,2,C++,Academic research,WhatsApp,Web App,9805,38195,20,3,2,100,49,2,1,5,7,Medium,Moderate,Medium,Casual Learner
STU-0086,31,Female,Nairobi,Robotics,Diploma,Physical,Diploma,Self-employed,Full Payment,Desktop,Excellent,1.2,5,59,16,1,72,45,11,14,7,1,Java,Freelance,Event,Web App,37603,2897,10,10,1,114,43,9,7,5,6,Medium,Moderate,Medium,Casual Learner
STU-0087,28,Male,Meru,Blockchain Development,Bootcamp,Hybrid,High School,Employed,Full Payment,Laptop,Poor,0,20,79,16,2,70,55,39,3,85,4,Kotlin,Get a tech job,TikTok,IoT Project,6993,38007,0,1,4,64,68,10,8,6,9,Medium,Moderate,Medium,Career Switcher
STU-0088,37,Male,Machakos,Full Stack JavaScript,Bootcamp,Online,Postgraduate,Self-employed,Full Payment,Laptop,Average,3.2,1,34,5,3,37,25,32,2,2,0,Java,Freelance,Event,Data Dashboard,42150,77850,0,23,3,86,32,2,10,2,7,Medium,Irregular,High,Struggling Learner
STU-0089,27,Female,Nakuru,Full Stack JavaScript,Bootcamp,Online,Diploma,Employed,Sponsored,Laptop,Average,2.3,9,47,13,0,33,48,13,13,19,1,Java,Freelance,Event,Mobile App,11496,48504,20,15,0,114,47,3,2,4,6,Low,Irregular,Medium,Struggling Learner
STU-0090,29,Female,Meru,Software Engineering,Diploma,Hybrid,Diploma,Student,Installments,Tablet,Poor,2.8,23,86,12,0,81,90,4,3,140,8,Dart,Upskill current job,Event,Blockchain App,5212,21788,10,0,14,120,92,3,2,9,2,Very High,Consistent,Low,High Performer
STU-0091,32,Male,Kajiado,Cloud Computing,Certificate,Hybrid,Diploma,Self-employed,Full Payment,Laptop,Average,1.8,7,63,9,6,71,58,12,10,40,4,Kotlin,Freelance,School Visit,IoT Project,66927,53073,0,4,1,118,67,4,9,5,7,Medium,Moderate,Medium,Casual Learner
